DRAM TSOP Rev.A   Rev.B
Sig  Pin  IO Ball IO Ball
-------------------------
A0   23   17 D10  12 A8
A1   24   18 C10  13 D9
A2   25   19 B10  14 C9
A3   26   20 A10  15 B9
A4   29   30 C14  30 C14
A5   30   29 E17  29 E17
A6   31   28 A12  28 A12
A7   32   27 B12  27 B12
A8   33   26 H17  26 H17
A9   34   25 G18  25 G18
A10  22   16 A9   11 B8
A11  35   24 A11  24 A11
A12  36   09 A7   23 B11
BA0  20   14 C9   09 A7
BA1  21   15 B9   10 C8
DQ0   2   01 C5   01 C5
DQ1   5   03 A5   02 B5
DQ2   8   05 B6   03 A5
DQ3  11   07 D6   04 C6
DQ4  44   02 B5   19 B10
DQ5  47   04 C6   18 C10
DQ6  50   06 A6   17 D10
DQ7  53   08 C7   16 A9
WE#  16   10 C8   05 B6
CAS# 17   11 B8   06 A6
RAS# 18   12 A8   07 D6
CS#  19   13 D9   08 C7
DQM  39   21 D11  20 A10
CLK  38   22 C11  21 D11
CKE  37   23 B11  22 C11
